,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,QUEILOPLASTIA PARA FISSURA LABIAL,,,,,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,RECONSTRUÇÃO DE SULCO GENGIVO-LABIAL,,,,,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,RECONSTRUÇÃO TOTAL DO LÁBIO,,,,,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,TRATAMENTO CIRÚRGICO DE HIPERTROFIA DO LÁBIO,,,,,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,ADEQUAÇÃO DO MEIO BUCAL (COM DIRETRIZ DE UTILIZAÇÃO),,,OD,,,,,,78.0,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,AJUSTE OCLUSAL POR ACRÉSCIMO,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,AJUSTE OCLUSAL POR DESGASTE SELETIVO,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,ALONGAMENTO CIRÚRGICO DO PALATO MOLE,,,,,HCO,HSO,REF,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,ALVEOLOPLASTIA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,AMPUTAÇÃO RADICULAR COM OBTURAÇÃO RETRÓGRADA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,AMPUTAÇÃO RADICULAR SEM OBTURAÇÃO RETRÓGRADA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,APICETOMIA BIRRADICULARES COM OBTURAÇÃO RETRÓGRADA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,APICETOMIA BIRRADICULARES SEM OBTURAÇÃO RETRÓGRADA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,APICETOMIA MULTIRRADICULARES COM OBTURAÇÃO RETRÓGRADA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,APICETOMIA MULTIRRADICULARES SEM OBTURAÇÃO RETRÓGRADA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,APICETOMIA UNIRRADICULARES COM OBTURAÇÃO RETRÓGRADA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,APICETOMIA UNIRRADICULARES SEM OBTURAÇÃO RETRÓGRADA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,APROFUNDAMENTO/AUMENTO DE VESTÍBULO,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,AUMENTO DE COROA CLÍNICA,,,OD,,,,,,,BOCA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
