,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,RETRAÇÃO DE APONEUROSE PALMAR (DUPUYTREN),,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,SUTURA DE FERIMENTOS COM OU SEM DESBRIDAMENTO,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,TERAPIA POR PRESSÃO NEGATIVA (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,148.0,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,TRANSECÇÃO DE RETALHO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,TRANSFERÊNCIA INTERMEDIÁRIA DE RETALHO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,TRATAMENTO CIRÚRGICO DA UNHA (ENXERTO),,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,"TRATAMENTO CIRÚRGICO DE HEMANGIOMAS, LINFANGIOMAS OU NEVUS",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,TRATAMENTO CIRÚRGICO DE BRIDAS CONSTRICTIVAS,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,TRATAMENTO CIRÚRGICO DO ABSCESSO DE UNHA (DRENAGEM),,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,TRATAMENTO DA MIIASE FURUNCULÓIDE,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,TRATAMENTO DE ESCARAS OU ULCERAÇÕES COM RETALHOS CUTÂNEOS,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,TRATAMENTO DE ESCARAS OU ULCERAÇÕES COM RETALHOS MIOCUTÂNEOS OU MUSCULARES,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,TRATAMENTO DE FÍSTULA CUTÂNEA,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,BIÓPSIA DE LÁBIO (COM DIRETRIZ DE UTILIZAÇÃO),,,OD,AMB,HCO,HSO,REF,,83.0,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,EXCISÃO COM PLÁSTICA DE VERMELHÃO,,,,,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,EXCISÃO COM RECONSTRUÇÃO COM OU SEM RETALHOS,,,,,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,EXCISÃO EM CUNHA,,,,AMB,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,FRENOTOMIA/FRENULOTOMIA LABIAL,,,OD,AMB,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,FRENULECTOMIA  LABIAL,,,OD,AMB,HCO,HSO,REF,,,LÁBIO,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
