,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,RECONSTRUÇÃO DA FALANGE COM RETALHO HOMODIGITAL,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,RECONSTRUÇÃO DE LEITO UNGUEAL,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,RECONSTRUÇÃO DO POLEGAR COM RETALHO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,REDUÇÂO INCRUENTA DAS ROTURAS DO APARELHO EXTENSOR DE DEDO,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,REIMPLANTE DE MEMBROS OU PARTES,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,REPARAÇÃO LIGAMENTAR DO CARPO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,REPARAÇÕES CUTÂNEAS COM RETALHO,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,RESSECÇÃO 1a FILEIRA DOS OSSOS DO CARPO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,RESSECÇÃO DA CABEÇA DO RÁDIO E/ OU DA EXTREMIDADE DISTAL ULNA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,RESSECÇÃO DE APONEUROSE PALMAR,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,RESSECÇÃO DE CISTO SINOVIAL,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,RESSECÇÃO DE OSSO DO CARPO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,RESSECÇÃO DO PROCESSO ESTILÓIDE DO RÁDIO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,REVASCULARIZAÇÃO DE DEDOS,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,SEQUESTRECTOMIA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,SINOVECTOMIA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,SINOVECTOMIA DE PUNHO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,TRANSPOSIÇÃO DE DEDO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,TRANSPOSIÇÃO DO RÁDIO PARA ULNA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
