,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,CARDIOVERSÃO QUÍMICA DE ARRITMIA PAROXÍSTA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
1,CATETERISMO VESICAL,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
2,CERUMEN - REMOÇÃO,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
3,CRIOTERAPIA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
4,CURATIVOS EM GERAL COM OU SEM ANESTESIA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
5,DILATAÇÃO URETRAL,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
6,DESSENSIBILIZAÇÃO DENTÁRIA,,,OD,,,,,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
7,ESTIMULAÇÃO ELÉTRICA TRANSCUTÂNEA (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,24.0,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
8,FOTOTERAPIA COM UVA (PUVA) PARA TRATAMENTO DE PSORÍASE OU VITILIGO,,,,AMB,,,REF,PAC,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
9,INSTILAÇÃO VESICAL OU URETRAL,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
10,LESÕES MÚSCULO TENDINOSAS - TRATAMENTO INCRUENTO,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
11,PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO INESPECÍFICA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
12,PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO-ESPECÍFICA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
13,PRIAPISMO - TRATAMENTO NÃO CIRÚRGICO,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
14,PULSOTERAPIA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
15,OXIGENOTERAPIA HIPERBÁRICA (COM DIRETRIZ DE UTILIZAÇÃO),,,,,HCO,HSO,REF,PAC,58.0,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
16,REDUÇÃO DE LUXAÇÃO DA ATM (COM DIRETRIZ DE UTILIZAÇÃO),,,OD,AMB,HCO,HSO,REF,,96.0,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
17,REMINERALIZAÇÃO DENTÁRIA,,,OD,,,,,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
18,SESSÃO DE ACUPUNTURA,,,,AMB,,,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
