,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,ARTÉRIA HIPOGÁSTRICA,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,ARTÉRIA MESENTÉRICA INFERIOR,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,ARTÉRIA MESENTÉRICA SUPERIOR,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,ARTÉRIA RENAL - REVASCULARIZAÇÃO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,ARTERIOPLASTIA DA FEMORAL PROFUNDA (PROFUNDOPLASTIA),,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,CATETERISMO DA ARTÉRIA RADIAL - PARA PAM,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,CORREÇÃO CIRÚRGICA DE ANEURISMAS QUALQUER LOCALIZAÇÃO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,CORREÇÃO DAS DISSECÇÕES DA AORTA,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,ENDARTERECTOMIAS,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,LIGADURA DE CARÓTIDA OU RAMOS,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,PONTE AORTO BIILÍACA,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,PONTE AORTO-ILÍACA,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,PONTE ARTERO-ARTERIAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,PONTE AXILO-BIFEMORAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,PONTE AXILO-FEMORAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,PONTE DISTAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,PONTE FÊMORO POPLÍTEA PROXIMAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,PONTE FÊMORO-FEMORAL CRUZADA,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,PONTES AORTO-CERVICAIS OU ENDARTERECTOMIAS DOS TRONCOS SUPRA-AÓRTICOS,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
