,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,"NEOVAGINA (CÓLON, DELGADO, TUBO DE PELE)",,,,,HCO,HSO,REF,,,VAGINA,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,BIÓPSIA DO COLO UTERINO,,,,AMB,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,BIÓPSIA DO ENDOMÉTRIO,,,,AMB,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,"CAUTERIZAÇÃO QUÍMICA, OU ELETROCAUTERIZAÇÃO, OU CRIOCAUTERIZAÇÃO DE LESÕES DE COLO UTERINO",,,,AMB,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,CURETAGEM GINECOLÓGICA SEMIÓTICA E/OU TERAPÊUTICA COM OU SEM DILATAÇÃO DE COLO UTERINO,,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,DILATAÇÃO DO COLO UTERINO,,,,AMB,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,EXCISÃO DE PÓLIPO CERVICAL,,,,AMB,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,HISTERECTOMIA SUBTOTAL (VIA ALTA OU BAIXA),,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,HISTERECTOMIA SUBTOTAL COM ANEXECTOMIA (VIA ALTA OU BAIXA),,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,HISTERECTOMIA SUBTOTAL LAPAROSCÓPICA COM OU SEM ANEXECTOMIA,,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,HISTERECTOMIA TOTAL (VIA ALTA OU BAIXA),,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,HISTERECTOMIA TOTAL LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,HISTERECTOMIA TOTAL AMPLIADA (VIA ALTA OU BAIXA),,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,HISTERECTOMIA TOTAL LAPAROSCÓPICA AMPLIADA,,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,HISTERECTOMIA TOTAL COM ANEXECTOMIA (VIA ALTA OU BAIXA),,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,HISTERECTOMIA TOTAL LAPAROSCÓPICA COM ANEXECTOMIA,,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,"HISTEROSCOPIA CIRÚRGICA COM BIÓPSIA E/OU CURETAGEM UTERINA, LISE DE SINÉQUIAS, RETIRADA DE CORPO ESTRANHO",,,,AMB,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,"HISTEROSCOPIA COM RESSECTOSCÓPIO PARA MIOMECTOMIA, POLIPECTOMIA, METROPLASTIA, ENDOMETRECTOMIA E RESSECÇÃO DE SINÉQUIAS",,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,IMPLANTE DE DISPOSITIVO/SISTEMA INTRAUTERINO (DIU/SIU) HORMONAL - INCLUI O DISPOSITIVO,542/2022,01/09/2022,,AMB,,,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
