,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,GLOSSECTOMIA COM PELVECTOMIA E ESVAZIAMENTO CERVICAL COM OU SEM RECONSTRUCAO À CUSTA DE RETALHOS DE PELE,,,,,HCO,HSO,REF,,,LÍNGUA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,TUMOR DE LÍNGUA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,LÍNGUA,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,BIÓPSIA DE GLÂNDULA SALIVAR (COM DIRETRIZ DE UTILIZAÇÃO),,,OD,AMB,HCO,HSO,REF,,82.0,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,EXCISÃO COM OU SEM RECONSTRUÇÃO À CUSTA DE RETALHOS DE GLÂNDULAS SALIVARES,,,,,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,EXENTERAÇÃO + PAROTIDECTOMIA E ESVAZIAMENTO CERVICAL,,,,,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,EXÉRESE OU EXCISÃO DE CÁLCULO SALIVAR,,,OD,AMB,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,EXÉRESE OU EXCISÃO DE MUCOCELE,,,OD,AMB,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,EXÉRESE OU EXCISÃO DE RÂNULA,,,OD,AMB,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,EXÉRESE DE RÂNULA OU MUCOCELE,,,OD,AMB,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,PLASTIA DE DUCTO SALIVAR OU EXÉRESE DE CÁLCULO OU DE RÂNULA SALIVAR,,,OD,AMB,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,EXÉRESE DE TUMOR E ENXERTO LIVRE,,,,,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,"EXÉRESE INCLUINDO PELE, CARTILAGEM COM RECONSTRUÇÃO À CUSTA DE RETALHOS",,,,AMB,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,PAROTIDECTOMIA PARCIAL OU TOTAL COM OU SEM RECONSTRUÇÃO OU CONSERVAÇÃO DO NERVO FACIAL,,,,,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,PAROTIDECTOMIA TOTAL COM RESSECÇÃO DO RAMO ASCENDENTE DA MANDÍBULA,,,,,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,PLASTIA DE DUCTO SALIVAR,,,,AMB,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,RESSECÇÃO DE TUMOR DE GLÂNDULA SALIVAR COM OU SEM ESVAZIAMENTO CERVICAL,,,,,HCO,HSO,REF,,,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,ADENO-AMIGDALECTOMIA,,,,,HCO,HSO,REF,,,FARINGE,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,ADENOIDECTOMIA,,,,,HCO,HSO,REF,,,FARINGE,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,ADENOIDECTOMIA POR VIDEOENDOSCOPIA,,,,,HCO,HSO,REF,,,FARINGE,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
