,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,SONDAGEM DAS VIAS LACRIMAIS - COM OU SEM LAVAGEM,,,,AMB,HCO,HSO,REF,,,VIAS LACRIMAIS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,BIÓPSIA DE PAVILHÃO AURICULAR,,,,AMB,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,EXÉRESE DE TUMOR,,,,AMB,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA PAVILHÃO AURICULAR (TEMPO FACIAL),,,,,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,RECONSTRUÇÃO DE ORELHA,,,,AMB,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,RECONSTRUÇÃO DE UNIDADE ANATÔMICA DO PAVILHÃO AURICULAR,,,,,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,RECONSTRUÇÃO TOTAL DE ORELHA,,,,,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,RESSECÇÃO DE ORELHA,,,,,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,"RESSECÇÃO DE TUMOR DE PAVILHÃO AURICULAR, INCLUINDO PARTE DO OSSO TEMPORAL",,,,,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,TRATAMENTO CIRÚRGICO DE SINUS PRÉ-AURICULAR,,,,AMB,HCO,HSO,REF,,,PAVILHÃO AURICULAR,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,ASPIRAÇÃO AURICULAR OU CURATIVO,,,,AMB,HCO,HSO,REF,,,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,BIÓPSIA DE ORELHA EXTERNA,,,,AMB,HCO,HSO,REF,,,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,ESTENOSE DE CONDUTO AUDITIVO EXTERNO - CORREÇÃO,,,,,HCO,HSO,REF,,,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,EXÉRESE DE CISTO PRÉ-AURICULAR,,,,AMB,,,REF,,,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,FURÚNCULO - DRENAGEM,,,,AMB,,,REF,,,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,PERICONDRITE DE PAVILHÃO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,RETIRADA DE CORPOS ESTRANHOS OU PÓLIPOS E OU BIÓPSIA,,,,AMB,HCO,HSO,REF,,,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,TUMOR DE CONDUTO AUDITIVO EXTERNO - EXÉRESE,,,,AMB,HCO,HSO,REF,,,ORELHA EXTERNA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,CAUTERIZAÇÃO DE MEMBRANA TIMPÂNICA,,,,AMB,HCO,HSO,REF,,,ORELHA MÉDIA,ORELHA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
