,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,TRATAMENTO ENDOSCÓPICO DA ESTENOSE LARÍNGEA,,,,,HCO,HSO,REF,,,LARINGE,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,FRATURA COMINUTIVA DE MANDÍBULA - REDUÇÃO CIRÚRGICA COM FIXAÇÃO ÓSSEA E BLOQUEIO INTERMAXILAR EVENTUAL,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,"FRATURA LEFORT I , II OU III- FIXAÇÃO CIRÚRGICA COM SÍNTESE ÓSSEA, LEVANTAMENTO CRÂNIO-MAXILA E BLOQUEIO INTERMAXILAR EVENTUAL",,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,FRATURA SIMPLES OU COMPLEXA DE MANDÍBULA - REDUÇÃO CIRÚRGICA COM FIXAÇÃO ÓSSEA E BLOQUEIO INTERMAXILAR EVENTUAL,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,REDUÇÃO DE FRATURA DO ARCO ZIGOMÁTICO COM OU SEM FIXAÇÃO,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,REDUÇÃO DE FRATURA DE SEIO FRONTAL,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,REDUÇÃO DE FRATURA DO MALAR COM OU SEM FIXAÇÃO,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,REDUÇÃO DE FRATURAS DE CÔNDILO MANDIBULAR,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,REDUÇÃO INCRUENTA DE FRATURA DE MANDÍBULA,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,RETIRADA DOS MEIOS DE FIXAÇÃO (NA FACE),,,,AMB,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,"TRATAMENTO DE FRATURA DE MANDÍBULA COM OU SEM CONTENÇÃO, FIXAÇÃO ÓSSEA E BLOQUEIO INTERMAXILAR EVENTUAL",,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,"TRATAMENTO DE FRATURA DE MAXILA, REDUÇÃO CIRÚRGICA COM FIXAÇÃO ÓSSEA OU APLICAÇÃO DE LEVANTAMENTO ZIGOMÁTICO MAXILAR E BLOQUEIO INTERMAXILAR EVENTUAL",,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,TRATAMENTO DE FRATURA NASO-ÓRBITO-ETMOIDAL,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,TRATAMENTO DE FRATURAS ALVEOLARES FIXAÇÃO COM APARELHO E CONTENÇÃO,,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,"TRATAMENTO DE FRATURAS MÚLTIPLAS E/OU COMPLEXAS DO TERÇO MÉDIO DA FACE, FIXAÇÃO CIRÚRGICA COM SÍNTESE ÓSSEA, LEVANTAMENTO CRÂNIO MAXILAR, BLOQUEIO INTERMAXILAR, ENXERTO ÓSSEO E HALO CRANIANO EVENTUAL",,,,,HCO,HSO,REF,,,TRAUMA CRÂNIO-MAXILO-FACIAL,CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,CORREÇÃO CIRÚRGICA DE DEPRESSÃO (AFUNDAMENTO) DA REGIÃO FRONTAL,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DAFACE",CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,HEMIMANDIBULECTOMIA COM OU SEM ENXERTO ÓSSEO COM OU SEM COLOCAÇÃO DE PRÓTESE,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DAFACE",CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,"OSTEOPLASTIA PARA PROGNATISMO, MICROGNATISMO OU LATEROGNATISMO",,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DAFACE",CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,OSTEOPLASTIAS DA ÓRBITA,,,,,HCO,HSO,REF,,,"CIRURGIA REPARADORA E FUNCIONAL DAFACE",CABEÇA E PESCOÇO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
