,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,PONTES TRANSCERVICAIS,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,REOPERAÇÃO DE AORTA ABDOMINAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,RESSECÇÃO DE TUMOR GLÔMICO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,RETIRADA DE ENXERTO INFECTADO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,REVASCULARIZAÇÃO AORTO-FEMORAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,REVASCULARIZAÇÃO ARTERIAL DE MEMBRO SUPERIOR,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,TRATAMENTO CIRÚRGICO DA ISQUEMIA CEREBRAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,TRATAMENTO CIRÚRGICO DE SÍNDROME VÉRTEBRO BASILAR,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,TRATAMENTO CIRÚRGICO DE TUMOR CAROTÍDEO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,TRONCO CELÍACO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,CIRURGIA DE RESTAURAÇÃO VENOSA COM PONTES,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,CURA CIRÚRGICA DA IMPOTÊNCIA COEUNDI VENOSA,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,CURA CIRÚRGICA DE HIPERTENSÃO PORTAL,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,FULGURAÇÃO DE TELANGIECTASIAS,,,,AMB,,,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,IMPLANTE DE FILTRO DE VEIA CAVA,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,INTERRUPÇÃO CIRÚRGICA VEIA CAVA INFERIOR,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,TROMBECTOMIA VENOSA,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,VALVULOPLASTIA OU INTERPOSIÇÃO DE SEGMENTO VALVULADO VENOSO,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,VARIZES - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
