,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,TRATAMENTO CIRÚRGICO DA PSEUDOARTROSE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,TRATAMENTO CIRÚRGICO DE FRATURA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,TRATAMENTO CIRÚRGICO DE LESÕES LIGAMENTARES (AGUDAS OU CRÔNICAS),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,TRATAMENTO CIRÚRGICO DE LUXAÇÃO E/OU AVULSÕES,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,TUMOR ÓSSEO - TRATAMENTO CIRURGICO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,ARTRODESE DA COLUNA C/ INSTRUMENTAÇÃO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,ARTRODESE DE COLUNA VIA ANTERIOR OU PÓSTERO LATERAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,ARTROPLASTIA DISCAL DE COLUNA VERTEBRAL (COM DIRETRIZ DE UTILIZAÇÃO),,,,,HCO,HSO,REF,,133.0,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,BIÓPSIA CIRÚRGICA DA COLUNA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,BIÓPSIA DE CORPO VERTEBRAL COM AGULHA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,CIRURGIA ENDOSCÓPICA DA COLUNA VERTEBRAL - HÉRNIA DE DISCO LOMBAR,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,CORDOTOMIA - MIELOTOMIA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,DERIVAÇÃO LOMBAR EXTERNA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,DESCOMPRESSÃO MEDULAR E/OU CAUDA EQUINA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,FRATURA DO CÓCCIX - REDUÇÃO INCRUENTA,,,,AMB,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,FRATURA DO CÓCCIX - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,FRATURA E/OU LUXAÇÃO DE COLUNA VERTEBRAL - REDUÇÃO INCRUENTA,,,,AMB,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
