,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,INJEÇÕES PERIURETRAIS (INCLUINDO URETROCISTOCOPIA),,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,MEATOPLASTIA (RETALHO CUTÂNEO),,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,MEATOTOMIA URETRAL,,,,AMB,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,NEOURETRA PROXIMAL (CISTOURETROPLASTIA),,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,RESSECÇÃO DE CARÚNCULA,,,,AMB,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,RESSECÇÃO DE VÁLVULA URETRAL POSTERIOR,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,TUMOR URETRAL - EXCISÃO,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,URETRECTOMIA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,URETROPLASTIA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,URETROSTOMIA,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,URETROTOMIA INTERNA COM OU SEM PRÓTESE ENDOURETRAL,,,,,HCO,HSO,REF,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,ABSCESSO DE PRÓSTATA - DRENAGEM,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,ADENOMA - RESSECÇÃO,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,BIÓPSIA PROSTÁTICA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,HEMORRAGIA DA LOJA PROSTÁTICA - EVACUAÇÃO E IRRIGAÇÃO,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,HEMORRAGIA DA LOJA PROSTÁTICA - REVISÃO E/OU HEMOSTASIA ENDOSCÓPICA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,HIPERTROFIA PROSTÁTICA - IMPLANTE DE PRÓTESE,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,HIPERTROFIA PROSTÁTICA - TRATAMENTO POR DILATAÇÃO,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,PROSTATAVESICULECTOMIA,,,,,HCO,HSO,REF,,,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
