,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,RESSECÇÃO DE TUMOR DO DIAFRAGMA E RECONSTRUÇÃO,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,RETIRADA DE CORPO ESTRANHO DA PAREDE TORÁCICA,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,TORACECTOMIA,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,TORACOPLASTIA,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,TORACOTOMIA COM BIÓPSIA,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,TORACOTOMIA EXPLORADORA,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,TORACOTOMIA PARA PROCEDIMENTOS ORTOPÉDICOS SOBRE A COLUNA VERTEBRAL,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,TRAÇÃO ESQUELÉTICA DO GRADIL COSTO-ESTERNAL (TRAUMATISMO),,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,TRATAMENTO CIRÚRGICO DE FRATURA LUXAÇÃO DE ESTERNO OU COSTELA,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,TRATAMENTO CIRÚRGICO DA OSTEOMIELITE DE COSTELA OU ESTERNO,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,TRATAMENTO CIRÚRGICO DE FRATURAS DO GRADIL COSTAL,,,,,HCO,HSO,REF,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,BIÓPSIA INCISIONAL DE MAMA,,,,AMB,HCO,HSO,REF,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,"BIÓPSIA PERCUTÂNEA À VACUO GUIADA POR RAIO X, ULTRASSONOGRAFIA OU RESSONÂNCIA MAGNÉTICA (MAMOTOMIA) - COM DIRETRIZ DE UTILIZAÇÃO",,,,AMB,HCO,HSO,REF,PAC,7.0,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,BIÓPSIA PERCUTÂNEA DE FRAGMENTO MAMÁRIO (CORE BIOPSY) ORIENTADA POR US OU RX - AGULHA GROSSA,,,,AMB,HCO,HSO,REF,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,COLETA DE FLUXO PAPILAR DE MAMA,,,,AMB,HCO,HSO,REF,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,CORREÇÃO DE GINECOMASTIA,,,,,HCO,HSO,REF,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,CORREÇÃO DE INVERSÃO PAPILAR,,,,,HCO,HSO,REF,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,DRENAGEM DE ABSCESSO DE MAMA,,,,AMB,HCO,HSO,REF,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,DRENAGEM E/OU ASPIRAÇÃO DE SEROMA,,,,AMB,HCO,HSO,REF,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
