,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,INFILTRAÇÃO SUBCONJUNTIVAL,,,,AMB,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,"PLÁSTICA DE CONJUNTIVA PARA PTERÍGIO, TUMORES OU TRAUMAS",,,,AMB,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,RECONSTITUIÇÃO DE FUNDO DE SACO,,,,,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,SUTURA DE CONJUNTIVA,,,,AMB,HCO,HSO,REF,,,CONJUNTIVA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,CAUTERIZAÇÃO DE CÓRNEA,,,,AMB,HCO,HSO,REF,,,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,CERATECTOMIA FOTOTERAPÊUTICA (PTK),,,,AMB,HCO,HSO,REF,PAC,,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,CERATECTOMIA SUPERFICIAL,,,,,HCO,HSO,REF,,,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,CIRURGIA REFRATIVA - PRK OU LASIK (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,13.0,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,RADIAÇÃO PARA CROSS LINKING CORNEANO  (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,121.0,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,IMPLANTE DE ANEL INTRAESTROMAL (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,34.0,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,RECOBRIMENTO CONJUNTIVAL,,,,AMB,HCO,HSO,REF,,,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,RETIRADA DE CORPO ESTRANHO DA CÓRNEA,,,,AMB,HCO,HSO,REF,,,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,SUTURA DE CÓRNEA (COM OU SEM HÉRNIA DE ÍRIS),,,,,HCO,HSO,REF,,,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,TARSOCONJUNTIVOCERATOPLASTIA,,,,,HCO,HSO,REF,,,CÓRNEA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,PARACENTESE DA CÂMARA ANTERIOR,,,,AMB,HCO,HSO,REF,,,CÂMARA ANTERIOR,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,RECONSTRUÇÃO DA CÂMARA ANTERIOR,,,,,HCO,HSO,REF,,,CÂMARA ANTERIOR,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,REMOÇÃO DE HIFEMA,,,,,HCO,HSO,REF,,,CÂMARA ANTERIOR,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,RETIRADA DE CORPO ESTRANHO DA CÂMARA ANTERIOR,,,,,HCO,HSO,REF,,,CÂMARA ANTERIOR,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,CAPSULOTOMIA YAG OU CIRÚRGICA,,,,AMB,HCO,HSO,REF,,,CRISTALINO,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
