,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,IMPLANTE DE DISPOSITIVO INTRA-UTERINO (DIU) NÃO HORMONAL - INCLUI O DISPOSITIVO,,,,AMB,,,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,METROPLASTIA,,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,MIOMECTOMIA UTERINA,,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,MIOMECTOMIA UTERINA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,"TRAQUELECTOMIA - AMPUTAÇÃO, CONIZAÇÃO - (COM OU SEM CIRURGIA DE ALTA FREQUÊNCIA / CAF)",,,,,HCO,HSO,REF,,,ÚTERO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,CIRURGIA DE ESTERILIZAÇÃO FEMININA (LAQUEADURA TUBÁRIA / LAQUEADURA TUBÁRIA LAPAROSCÓPICA) - COM DIRETRIZ DE UTILIZAÇÃO,,,,,HCO,HSO,REF,,11.0,TUBAS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,SALPINGECTOMIA,,,,,HCO,HSO,REF,,,TUBAS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,NEOSSALPINGOSTOMIA,,,,,HCO,HSO,REF,,,TUBAS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,NEOSSALPINGOSTOMIA LAPAROSCÓPICA - EXCETO PARA REVERSÃO DE LAQUEADURA TUBÁRIA,,,,,HCO,HSO,REF,,,TUBAS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,SALPINGECTOMIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,TUBAS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10,OOFORECTOMIA OU OOFOROPLASTIA,,,,,HCO,HSO,REF,,,OVÁRIOS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11,OOFOROPLASTIA OU OOFORECTOMIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,OVÁRIOS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12,TRANSLOCAÇÃO DE OVÁRIOS,,,,,HCO,HSO,REF,,,OVÁRIOS,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13,CORREÇÃO DE DEFEITO LATERAL,,,,,HCO,HSO,REF,,,PERÍNEO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14,CORREÇÃO DE ENTEROCELE,,,,,HCO,HSO,REF,,,PERÍNEO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15,PERINEORRAFIA E/OU EPISIOTOMIA E/OU EPISIORRAFIA,,,,AMB,HCO,HSO,REF,,,PERÍNEO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16,RECONSTRUÇÃO PERINEAL COM RETALHOS MIOCUTÂNEOS,,,,,HCO,HSO,REF,,,PERÍNEO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
17,RESSECÇÃO DE TUMOR DO SEPTO RETO-VAGINAL,,,,,HCO,HSO,REF,,,PERÍNEO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
18,RETOCISTOCELE E ROTURA PERINEAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,PERÍNEO,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
