,PROCEDIMENTO,RN (alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
0,BLOQUEIO DE GÂNGLIO ESTRELADO COM NEUROLÍTICO,,,,,HCO,HSO,REF,,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1,BLOQUEIO DE NERVO PERIFÉRICO,,,,AMB,HCO,HSO,REF,,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2,"BLOQUEIO ANESTÉSICO DE PLEXOS NERVOSOS (LOMBOSSACRO, BRAQUIAL, CERVICAL) PARA TRATAMENTO DE DOR",,,,AMB,HCO,HSO,REF,,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3,BLOQUEIO FACETÁRIO PARA-ESPINHOSO,,,,AMB,HCO,HSO,REF,,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4,BLOQUEIO NEUROLÍTICO DE NERVOS CRANIANOS OU CÉRVICO-TORÁCICO,,,,,HCO,HSO,REF,PAC,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5,"BLOQUEIO NEUROLÍTICO DO PLEXO CELÍACO, SIMPÁTICO LOMBAR OU TORÁCICO",,,,,HCO,HSO,REF,PAC,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6,BLOQUEIO NEUROLÍTICO PERIDURAL OU SUBARACNÓIDEO,,,,,HCO,HSO,REF,PAC,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7,BLOQUEIO PERIDURAL OU SUBARACNÓIDEO COM CORTICÓIDE,,,,,HCO,HSO,REF,PAC,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8,BLOQUEIO SIMPÁTICO POR VIA VENOSA,,,,,HCO,HSO,REF,,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9,"INSTALAÇÃO DE BOMBA DE INFUSÃO PARA ANALGESIA EM DOR AGUDA OU CRÔNICA, POR QUALQUER VIA",,,,AMB,HCO,HSO,REF,,,"BLOQUEIOS ANESTÉSICOS DE NERVOS EESTÍMULOS NEUROVASCULARES",OUTROS PROCEDIMENTOS INVASIVOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
